row_number,physical_quantity,physical_symbol,sensor_code,biome,role
4,Cooling valve command,u_AHUR1_CCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR1_CCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
5,Cooling valve command,u_AHUR1_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR1_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
6,Economizer / damper control,u_AHUR1_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR1_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
7,Economizer / damper control,u_AHUR1_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR1_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
8,Economizer / damper control,u_AHUR1_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR1_EDPOSSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
9,Heating valve command,u_AHUR1_HCVlvCmd,Changes heating capacity available to Rainforest or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUR1_HCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
11,Supply fan command,u_AHUR1_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR1_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
12,Temperature setpoint,u_AHUR1_MaxSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR1_MAXSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
13,Temperature setpoint,u_AHUR1_MinSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR1_MINSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
14,Temperature setpoint,u_AHUR1_SATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR1_SATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
15,Valve command / position,u_AHUR1_MinVlvPos,Changes hydronic/air/water flow through equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR1_MINVLVPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
16,Cooling valve command,u_AHUR2_CCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR2_CCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
17,Cooling valve command,u_AHUR2_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR2_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
18,Economizer / damper control,u_AHUR2_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR2_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
19,Economizer / damper control,u_AHUR2_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR2_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
20,Economizer / damper control,u_AHUR2_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR2_EDPOSSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
21,Heating valve command,u_AHUR2_HCVlvCmd,Changes heating capacity available to Rainforest or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUR2_HCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
23,Supply fan command,u_AHUR2_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR2_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
24,Temperature setpoint,u_AHUR2_MaxSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR2_MAXSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
25,Temperature setpoint,u_AHUR2_MinSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR2_MINSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
26,Temperature setpoint,u_AHUR2_SATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR2_SATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
27,Valve command / position,u_AHUR2_MinVlvPos,Changes hydronic/air/water flow through equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR2_MINVLVPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
28,Cooling valve command,u_AHUR3_CCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR3_CCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
29,Cooling valve command,u_AHUR3_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR3_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
30,Economizer / damper control,u_AHUR3_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR3_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
31,Economizer / damper control,u_AHUR3_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR3_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
32,Heating valve command,u_AHUR3_HCVlvCmd,Changes heating capacity available to Rainforest or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUR3_HCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
34,Supply fan command,u_AHUR3_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR3_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
35,Cooling valve command,u_AHUR4_CCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR4_CCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
36,Cooling valve command,u_AHUR4_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR4_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
37,Economizer / damper control,u_AHUR4_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR4_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
38,Economizer / damper control,u_AHUR4_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR4_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
39,Economizer / damper control,u_AHUR4_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR4_EDPOSSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
41,Supply fan command,u_AHUR4_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR4_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
42,Temperature setpoint,u_AHUR4_MaxSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR4_MAXSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
43,Temperature setpoint,u_AHUR4_MinSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR4_MINSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
44,Temperature setpoint,u_AHUR4_SATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR4_SATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
45,Valve command / position,u_AHUR4_MinVlvPos,Changes hydronic/air/water flow through equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR4_MINVLVPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
46,Cooling valve command,u_AHUR5_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR5_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
47,Economizer / damper control,u_AHUR5_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR5_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
48,Economizer / damper control,u_AHUR5_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR5_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
49,Economizer / damper control,u_AHUR5_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR5_EDPOSSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
51,Supply fan command,u_AHUR5_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR5_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
52,Temperature setpoint,u_AHUR5_MaxSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR5_MAXSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
53,Temperature setpoint,u_AHUR5_MinSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR5_MINSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
54,Temperature setpoint,u_AHUR5_SATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR5_SATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
55,Valve command / position,u_AHUR5_MinVlvPos,Changes hydronic/air/water flow through equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR5_MINVLVPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
56,Cooling valve command,u_AHUR6_TWCCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR6_TWCCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
57,Economizer / damper control,u_AHUR6_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR6_EDCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
58,Economizer / damper control,u_AHUR6_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR6_EDPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
59,Economizer / damper control,u_AHUR6_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Rainforest.",UAB2_BIO1_B4000_AHUR6_EDPOSSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
61,Supply fan command,u_AHUR6_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR6_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
62,Temperature setpoint,u_AHUR6_MaxSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR6_MAXSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
63,Temperature setpoint,u_AHUR6_MinSATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR6_MINSATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
64,Temperature setpoint,u_AHUR6_SATmpSp,Sets target temperature used by equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR6_SATMPSP,"Inventory BIOM=1, BIOMNAME=Rainforest."
65,Valve command / position,u_AHUR6_MinVlvPos,Changes hydronic/air/water flow through equipment serving Rainforest.,UAB2_BIO1_B4000_AHUR6_MINVLVPOS,"Inventory BIOM=1, BIOMNAME=Rainforest."
66,Cooling valve command,u_AHUR7_CCVlvCmd,Changes cooling capacity available to Rainforest or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUR7_CCVLVCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
67,Supply fan command,u_AHUR7_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Rainforest.",UAB2_BIO1_B4000_AHUR7_SFCMD,"Inventory BIOM=1, BIOMNAME=Rainforest."
91,Cooling valve command,u_AHUS1_CCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS1_CCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
92,Cooling valve command,u_AHUS1_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS1_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
93,Economizer / damper control,u_AHUS1_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS1_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
94,Economizer / damper control,u_AHUS1_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS1_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
95,Economizer / damper control,u_AHUS1_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS1_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
96,Heating valve command,u_AHUS1_HCVlvCmd,Changes heating capacity available to Savanna or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUS1_HCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
98,Supply fan command,u_AHUS1_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS1_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
99,Temperature setpoint,u_AHUS1_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS1_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
100,Temperature setpoint,u_AHUS1_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS1_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
101,Temperature setpoint,u_AHUS1_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS1_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
102,Valve command / position,u_AHUS1_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS1_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
103,Cooling valve command,u_AHUS2_CCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS2_CCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
104,Cooling valve command,u_AHUS2_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS2_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
105,Economizer / damper control,u_AHUS2_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS2_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
106,Economizer / damper control,u_AHUS2_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS2_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
107,Economizer / damper control,u_AHUS2_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS2_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
108,Heating valve command,u_AHUS2_HCVlvCmd,Changes heating capacity available to Savanna or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUS2_HCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
110,Supply fan command,u_AHUS2_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS2_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
111,Temperature setpoint,u_AHUS2_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS2_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
112,Temperature setpoint,u_AHUS2_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS2_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
113,Temperature setpoint,u_AHUS2_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS2_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
114,Valve command / position,u_AHUS2_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS2_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
115,Cooling valve command,u_AHUS3_CCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS3_CCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
116,Cooling valve command,u_AHUS3_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS3_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
117,Economizer / damper control,u_AHUS3_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS3_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
118,Economizer / damper control,u_AHUS3_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS3_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
119,Economizer / damper control,u_AHUS3_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS3_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
120,Heating valve command,u_AHUS3_HCVlvCmd,Changes heating capacity available to Savanna or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUS3_HCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
122,Supply fan command,u_AHUS3_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS3_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
123,Temperature setpoint,u_AHUS3_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS3_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
124,Temperature setpoint,u_AHUS3_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS3_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
125,Temperature setpoint,u_AHUS3_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS3_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
126,Valve command / position,u_AHUS3_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS3_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
127,Cooling valve command,u_AHUS4_CCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS4_CCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
128,Cooling valve command,u_AHUS4_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS4_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
129,Economizer / damper control,u_AHUS4_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS4_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
130,Economizer / damper control,u_AHUS4_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS4_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
131,Economizer / damper control,u_AHUS4_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS4_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
132,Heating valve command,u_AHUS4_HCVlvCmd,Changes heating capacity available to Savanna or to the shared hot-water loop.,UAB2_BIO1_B4000_AHUS4_HCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
134,Supply fan command,u_AHUS4_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS4_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
135,Temperature setpoint,u_AHUS4_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS4_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
136,Temperature setpoint,u_AHUS4_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS4_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
137,Temperature setpoint,u_AHUS4_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS4_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
138,Valve command / position,u_AHUS4_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS4_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
139,Cooling valve command,u_AHUS5_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS5_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
140,Economizer / damper control,u_AHUS5_EDCmd,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS5_EDCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
141,Economizer / damper control,u_AHUS5_EDPos,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS5_EDPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
142,Economizer / damper control,u_AHUS5_EDPosSp,"Changes ventilation path, outside-air fraction, or air exchange for Savanna.",UAB2_BIO1_B4000_AHUS5_EDPOSSP,"Inventory BIOM=4, BIOMNAME=Savanna."
144,Supply fan command,u_AHUS5_SFCmd,"Changes airflow, exchange, pressure balance, or mixing for Savanna.",UAB2_BIO1_B4000_AHUS5_SFCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
145,Temperature setpoint,u_AHUS5_MaxSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS5_MAXSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
146,Temperature setpoint,u_AHUS5_MinSATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS5_MINSATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
147,Temperature setpoint,u_AHUS5_SATmpSp,Sets target temperature used by equipment serving Savanna.,UAB2_BIO1_B4000_AHUS5_SATMPSP,"Inventory BIOM=4, BIOMNAME=Savanna."
148,Valve command / position,u_AHUS5_MinVlvPos,Changes hydronic/air/water flow through equipment serving Savanna.,UAB2_BIO1_B4000_AHUS5_MINVLVPOS,"Inventory BIOM=4, BIOMNAME=Savanna."
149,Cooling valve command,u_AHUS6_TWCCVlvCmd,Changes cooling capacity available to Savanna or to the shared chilled-water loop.,UAB2_BIO1_B4000_AHUS6_TWCCVLVCMD,"Inventory BIOM=4, BIOMNAME=Savanna."
